name,title
Abdus Salam,Formulated electroweak unification theory in particle physics
Abraham De Moivre,Derived formula relating complex powers and trigonometry in complex analysis
Ada Lovelace,Created first algorithm for Analytical Engine in theoretical computer science
Adi Shamir,Co-invented RSA cryptosystem in cryptography
Adrien-Marie Legendre,Introduced Legendre polynomials in mathematical physics
Ahmes,Recorded early algebraic problem methods in arithmetic
Al-Battani,Refined trigonometric tables in astronomy
Al-Karaji,Extended algebraic manipulation of polynomials in algebra
Al-Kindi,Pioneered frequency analysis for cipher breaking in cryptanalysis
Al-Uqlidisi,Introduced decimal fractions in arithmetic
Alain Connes,Created noncommutative geometry in functional analysis
Alan Turing,Proposed Turing machine model in computability theory
Albert Einstein,Reformulated gravitational theory via spacetime curvature in theoretical physics
Alexander Grothendieck,Rebuilt algebraic geometry via schemes in algebraic geometry
Alfred Lotka,Formulated predator-prey equations in mathematical biology
Alonzo Church,Defined lambda calculus in logic and computability theory
Ancient Egyptians,Engineered geometric methods for construction in early geometry
André Weil,Connected number theory and geometry via conjectures in algebraic geometry
Andrey Kolmogorov,Axiomatized probability theory in probability theory
Annie Easley,Developed computational propulsion models in applied mathematics
Āpirana Ngata,Revitalized Māori educational systems in cultural mathematics education
Apollonius of Perga,Systematized conic sections in geometry
Archimedes,Invented method of exhaustion for area and volume in geometry
Archytas,Solved cube duplication problem in classical geometry
Arthur Cayley,Founded matrix algebra in linear algebra
Artur Avila,Advanced dynamical systems theory in chaos theory
Aryabhata,Compiled sine tables for astronomy in trigonometry
Atle Selberg,Proved prime number theorem in analytic number theory
August Möbius,Discovered Möbius strip topology in topology
Augustin-Louis Cauchy,Established rigorous calculus foundations in real analysis
Augustus DeMorgan,Formulated logical laws of negation in mathematical logic
Aztecs,Constructed base-20 numerical system in arithmetic systems
Benjamin Banneker,Produced astronomical almanacs in applied astronomy
Benoit Mandelbrot,Formulated fractal geometry of self-similarity in geometric analysis
Bernhard Riemann,Posed Riemann hypothesis in analytic number theory
Bertrand Russell,Formalized symbolic logic foundations in mathematical logic
Bhaskara II,Anticipated differential calculus ideas in early analysis
Blaise Pascal,Founded probability theory in combinatorics
Bonaventura Cavalieri,Introduced indivisible method for area and volume in geometry
Bradley Efron,Invented bootstrap resampling method in statistics
Brahmagupta,Defined rules for zero and negative numbers in arithmetic
C. R. Rao,Established Cramér–Rao inequality in statistical inference
Carl Friedrich Gauss,Proved fundamental results in number theory in number theory
Carl Gustav Jacob Jacobi,Introduced elliptic functions in complex analysis
Caroline Herschel,Discovered multiple comets in observational astronomy
Cédric Villani,Advanced optimal transport theory in analysis
Charles Babbage,Designed analytical computing engine in computational theory
Charles Hermite,Proved transcendence of e in number theory
Christiaan Huygens,Formulated wave theory of light in physics
Christian Goldbach,Conjectured prime additive structure in number theory
Claude Elwood Shannon,Founded information theory in communication theory
Daniel Bernoulli,Established fluid pressure principle in fluid dynamics
David Blackwell,Advanced Bayesian decision theory in statistics
David Hilbert,Axiomatized geometry and functional spaces in mathematical foundations
Diophantus,Initiated symbolic algebra methods in algebra
Dorothy Vaughan,Computed orbital trajectories for NASA flight systems in aerospace mathematics
Edward Lorenz,Discovered chaos sensitivity in weather prediction systems in dynamical systems
Edward Witten,Unified string theory frameworks in theoretical physics
Elbert Frank Cox,Achieved first African American PhD in mathematics in algebra
Emil Artin,Established reciprocity laws in algebraic number theory
Emmy Noether,Proved symmetry conservation correspondence in abstract algebra
Enrico Fermi,Formulated quantum statistical models for particle systems in physics
Eratosthenes,Measured Earth’s circumference using geometric methods in geometry
Ernst Kummer,Introduced ideal numbers in algebraic number theory
Euclid,Established axiomatic geometry in classical mathematics
Eudoxus,Developed theory of proportions for irrational magnitudes in geometry
Euphemia Lofton Haynes,Advanced mathematics education reform in academic mathematics
Felix Hausdorff,Founded topological space theory in topology
Felix Klein,Unified geometry through transformation groups in geometry
Fern Hunt,Applied stochastic modeling in mathematical biology
Fischer Black,Formulated option pricing model in financial mathematics
Florence Nightingale,Applied statistical visualization to public health reform in statistics
Frank Rosenblatt,Created perceptron model in artificial neural networks
François Viète,Introduced symbolic algebra notation in algebra
G. H. Hardy,Advanced analytic number theory methods in pure mathematics
Galileo Galilei,Established experimental motion laws in physics
Gaspard Monge,Developed descriptive geometry methods in engineering mathematics
Geoffrey Hinton,Advanced deep learning neural network models in machine learning
Georg Cantor,Founded set theory and transfinite numbers in mathematical logic
George Boole,Established Boolean algebra in mathematical logic
George E. P. Box,Developed time series modeling methods in statistics
George Pólya,Formulated problem-solving heuristics in mathematical education
Gerolamo Cardano,Solved cubic and quartic equations in algebra
Giovanni Ceva,Proved Ceva’s theorem in triangle geometry
Girard Desargues,Founded projective geometry in geometry
Giuseppe Peano,Axiomatized natural numbers in mathematical logic
Gottfried Wilhelm Leibniz,Invented differential calculus notation in calculus
Grace Hopper,Developed compiler systems for programming languages in computer science
Grigori Perelman,Proved Poincaré conjecture in topology
Harold Kroto,Discovered buckminsterfullerene structure in chemistry
Henri Poincaré,Founded qualitative theory of dynamical systems in topology
Hermann Grassmann,Developed exterior algebra in linear algebra
Hermann Weyl,Advanced symmetry principles in mathematical physics
Heron of Alexandria,Derived formula for triangle area in geometry
Hilda Geiringer,Advanced plasticity theory in applied mathematics
Hipparchus,Created early trigonometric star catalog in astronomy
Hippocrates,Explored geometric properties of lunes in geometry
Hypatia,Commented on algebraic and geometric works in classical mathematics
Ibn al-Banna al-Marrakushi,Developed algebraic notation systems in arithmetic
Ibn al-Haytham,Established experimental optics theory in physics
Imhotep,Engineered early architectural geometry in construction mathematics
Indus River Valley Civilization,Standardized measurement systems in early mathematics
Ingrid Daubechies,Developed wavelet theory in signal processing
Inuit Navigators,Used celestial navigation systems in applied astronomy
Isaac Newton,Formulated laws of motion and universal gravitation in physics
Ivan Gutman,Founded chemical graph theory in mathematical chemistry
J. B. S. Haldane,Developed mathematical population genetics in biology
Jacob Bernoulli,Proved law of large numbers in probability theory
James Clerk Maxwell,Formulated unified electromagnetic field equations in physics
James Joseph Sylvester,Developed matrix theory in linear algebra
Jamshid Al-Kashi,Computed high-precision approximations of pi in numerical analysis
Chang Yŏngsil,Engineered astronomical measurement instruments in applied astronomy
Janos Bolyai,Developed hyperbolic non-Euclidean geometry in geometry
Jean Bourgain,Advanced harmonic analysis techniques in functional analysis
Jean Le Rond d'Alembert,Formulated wave equation in mathematical physics
Jean-Pierre Serre,Advanced sheaf theory in algebraic geometry
Jia Xian,Constructed Pascal triangle method in combinatorics
Johann Bernoulli,Developed calculus of variations in analysis
Johann Heinrich Lambert,Proved irrationality of pi in number theory
Johannes Kepler,Formulated planetary motion laws in astronomy
John Conway,Created cellular automata models in discrete mathematics
John Littlewood,Advanced analytic number theory methods in mathematics
John Milnor,Discovered exotic spheres in differential topology
John Napier,Invented logarithms in computational mathematics
John Nash,Proved equilibrium existence in game theory
John Urschel,Advanced spectral graph theory in applied mathematics
John Von Neumann,Formulated game theory and computing architecture in mathematics
John Wallis,Developed infinite product representation of pi in analysis
Joseph Fourier,Developed Fourier series in heat equation analysis
Joseph-Louis Lagrange,Formulated method of Lagrange multipliers in optimization
Judea Pearl,Developed causal inference models in statistics
Julia Robinson,Advanced decision problem theory in logic
Karen Uhlenbeck,Advanced gauge theory in geometric analysis
Karl Weierstrass,Rigorousized analysis through epsilon-delta limits in calculus
Katherine Johnson,Computed orbital trajectories for space missions in aerospace mathematics
Kenneth Appel,Proved four color theorem using computation in graph theory
Kiyoshi Itô,Developed stochastic calculus in probability theory
Kurt Gödel,Proved incompleteness theorems in mathematical logic
